gene_name,meltPoint
ACP6,53.91406665662145
ACPL2,51.8015283216864
ACSF2,48.8898195463423
ACSF3,46.8756128915409
ACSL1,49.35562187649815
ACSL3,49.78052548848195
ACSL4,45.2131324156131
ACSL6,51.30251562723035
ACSM3,46.17441868343395
ACSS1,52.4126308744575
ACSS2,51.3488223167971
ACTA2,52.3649662464953
ACTB,54.9898367866185
ACTBL2,53.0362040369069
ACTC1,54.9504504621178
ACTL6A,51.4218086597461
ACTL8,54.043239804908254
ACTN1,56.6778791117544
ACTN4,56.5317085779012
ACTR10,53.2903257435976
ACTR1A,54.1531928276396
ACTR1B,54.0316359070132
ACTR2,54.7403598281145
ACTR3,56.5982075656145
ACTR3B,56.7371395499755
ACTR5,44.0049535084651
ACTR6,48.0808612946762
ACTR8,42.0810753776765
ACVR1,48.24871108821335
ACY1,58.8720307476046
ACYP1,53.3876335666792
ACYP2,53.4837792458299
ADA,59.0140762847628
ADAL,62.5725770330316
ADAM10,58.80075543801095
ADAM15,55.109974693883444
ADAM17,52.352523783814306
ADAM22,56.7252190089437
ADAM9,58.48359900568965
ADAR,50.3997421611301
ADAT1,45.3754364450306
ADAT2,53.4131575442203
ADAT3,51.4679504132187
ADCK1,55.828172412495704
ADCK2,53.76180203485385
ADCK4,47.416522325057
ADCY3,49.4429923331717
ADCY7,51.26345155940295
ADD1,54.5298779894527
ADD2,54.6349569690551
ADD3,55.188245817495
ADFP,49.83525309578885
ADH5,60.3580276532029
ADI1,48.3708551666562
ADK,56.8543504430525
ADNP,45.2062055254184
ADO,54.4382992382029
ADPGK,56.8612044194562
ADPRH,54.157221744568446
ADPRHL2,53.5978220849423
ADRBK1,50.8376253433642
ADRBK2,48.1717158407895
ADRM1,51.2987297672997
ADSL,59.3236609421264
ADSS,57.0649740989684
ADSSL1,55.52369580247991
AEBP1,50.5703285336244
AEBP2,47.5719122307993
AES,47.3306908976939
AFF1,48.19940604305626
AFG3L2,48.71708671522025
AFTPH,50.2782015574975
AGA,60.71009627956
AGAP2,46.6999709238415
AGAP3,45.8952262856037
AGBL1,50.7240973332865
AGFG1,52.2891129841845
AGFG2,44.5567173998553
AGGF1,46.9754363396049
AGK,54.4126617156395
AGL,50.4591181754765
AGPAT1,52.0485727236301
AGPAT2,53.879964983988
AGPAT3,52.5414346238423
AGPAT4,52.6990596055457
AGPAT5,51.122941080939796
AGPAT6,53.2602052709163
AGPAT9,50.7464978644646
AGPS,52.7223829771641
AGTPBP1,49.2699256250445
AGTRAP,60.2335923438028
AGXT2L2,56.372398331202504
AHCTF1,50.2126815618638
AHCY,61.648489123084
AHCYL1,52.9148515064572
AHCYL2,56.3700503756055
AHNAK,51.8667917916207
AHSA1,50.3926981286264
AHSG,60.78566903785255
AIDA,49.911942613218
AIF1,52.4297560236215
AIF1L,52.0140038406329
AIFM1,65.9207238869447
AIG1,57.80286048583005
AIM1,46.7401609366364
AIP,48.3482640570324
AK1,50.5374103145147
AK2,62.3759658983073
AK3,57.2949054882963
AK3L1,54.6704380261806
AKAP1,48.4467282001388
AKAP10,44.3640332687345
AKAP11,47.91203476866405
AKAP13,45.8550968456198
AKAP2,57.8452949601404
AKAP5,51.1182329106665
AKAP6,51.8227172303883
AKAP8,52.34524991906435
AKAP8L,45.1400517226303
AKAP9,45.5557075597055
AKIRIN2,53.0015111314912
AKNA,48.0194250796827
